"id","nama","alamat","desa","kecamatan"
"1","DINAS PENDIDIKAN","JL. PATIMURA NO. 09","SUMBANG","KEC. BOJONEGORO"
"2","DINAS KESEHATAN","AREA KANTOR PEMERINTAH, JL. DR. CIPTO","MOJOKAMPUNG","KEC. BOJONEGORO"
"3","RSUD KELAS B DR. R.SOSODORO DJATIKOESOEMO","JL. VETERAN NO. 36","SUKOREJO","KEC. BOJONEGORO"
"4","RSUD KELAS D SUMBERREJO","JL. RAYA SUMBERREJO NO. 231","SUMBERREJO","KEC. SUMBERREJO"
"5","RSUD KELAS D PADANGAN","JL. DR. SOETOMO NO. 02","NGASINAN","KEC. PADANGAN"
"6","DINAS PEKERJAAN UMUM BINA MARGA DAN PENATAAN RUANG","JL. LETTU SUYITNO NO. 39","MULYOAGUNG","KEC. BOJONEGORO"
"7","DINAS PEKERJAAN UMUM SUMBER DAYA AIR","JL. BASUKI RAHMAT NO. 4A","SUKOREJO","KEC. BOJONEGORO"
"8","DINAS PERUMAHAN KAWASAN PERMUKIMAN DAN CIPTA KARYA","JL. LETTU SUYITNO NO. 39B","MULYOAGUNG","KEC. BOJONEGORO"
"9","BADAN KESATUAN BANGSA DAN POLITIK","JL. TRUNOJOYO NO. 12","KADIPATEN","KEC. BOJONEGORO"
"10","SATUAN POLISI PAMONG PRAJA","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"11","BADAN PENANGGULANGAN BENCANA DAERAH","JL. AHMAD YANI NO. 06","SUKOREJO","KEC. BOJONEGORO"
"12","DINAS PEMADAM KEBAKARAN DAN PENYELAMATAN","JL. AHMAD YANI NO. 06","SUKOREJO","KEC. BOJONEGORO"
"13","DINAS SOSIAL","AREA KANTOR PEMERINTAH, JL. DR. CIPTO","MOJOKAMPUNG","KEC. BOJONEGORO"
"14","DINAS PEMBERDAYAAN PEREMPUAN PERLINDUNGAN ANAK DAN KELUARGA BERENCANA","JL. PATIMURA NO. 01","SUMBANG","KEC. BOJONEGORO"
"15","DINAS KETAHANAN PANGAN DAN PERTANIAN","JL. RAYA SUKOWATI NO. 412","SUKOWATI","KEC. KAPAS"
"16","DINAS LINGKUNGAN HIDUP","JL. DOKTER WAHIDIN NO. 40","KEPATIHAN","KEC. BOJONEGORO"
"17","DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL","JL. PATIMURA NO. 26","SUMBANG","KEC. BOJONEGORO"
"18","DINAS PEMBERDAYAAN MASYARAKAT DAN DESA","JL. PANGLIMA SUDIRMAN NO. 161","KLANGON","KEC. BOJONEGORO"
"19","DINAS PERHUBUNGAN","JL. PATIMURA NO. 36","SUMBANG","KEC. BOJONEGORO"
"20","DINAS KOMUNIKASI DAN INFORMATIKA","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"21","DINAS PENANAMAN MODAL DAN PELAYANAN TERPADU SATU PINTU","MPP, JL. VETERAN NO. 227","NGROWO","KEC. BOJONEGORO"
"22","DINAS KEPEMUDAAN DAN OLAHRAGA","JL. PATIMURA NO. 36","SUMBANG","KEC. BOJONEGORO"
"23","DINAS KEBUDAYAAN DAN PARIWISATA","JL. TEUKU UMAR NO. 80","KADIPATEN","KEC. BOJONEGORO"
"24","DINAS PERPUSTAKAAN DAN KEARSIPAN","JL. PATIMURA NO. 01A","SUMBANG","KEC. BOJONEGORO"
"25","DINAS PETERNAKAN DAN PERIKANAN","JL. BASUKI RAHMAT NO. 02","SUKOREJO","KEC. BOJONEGORO"
"26","DINAS PERDAGANGAN, KOPERASI DAN USAHA MIKRO","JL. AHMAD YANI NO. 39","TIKUSAN","KEC. KAPAS"
"27","DINAS PERINDUSTRIAN DAN TENAGA KERJA","JL. PATIMURA NO. 10","SUMBANG","KEC. BOJONEGORO"
"28","BAGIAN ORGANISASI","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"29","BAGIAN PEMERINTAHAN","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"30","BAGIAN HUKUM","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"31","BAGIAN ADMINISTRASI PEMBANGUNAN","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"32","BAGIAN PEREKONOMIAN DAN SDA","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"33","BAGIAN UMUM","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"34","BAGIAN PROTOKOL DAN KOMUNIKASI PIMPINAN","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"35","BAGIAN KESEJAHTERAAN RAKYAT","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"36","BAGIAN PENGADAAN BARANG/JASA","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"37","SEKRETARIAT DPRD","JL. VETERAN NO. 84","SUKOREJO","KEC. BOJONEGORO"
"38","KECAMATAN BOJONEGORO","KECAMATAN BOJONEGORO","BOJONEGORO","KEC. BOJONEGORO"
"39","KECAMATAN KAPAS","KECAMATAN KAPAS","KAPAS","KEC. KAPAS"
"40","KECAMATAN BALEN","KECAMATAN BALEN","BALEN","KEC. BALEN"
"41","KECAMATAN SUMBERREJO","KECAMATAN SUMBERREJO","SUMBERREJO","KEC. SUMBERREJO"
"42","KECAMATAN KANOR","KECAMATAN KANOR","KANOR","KEC. KANOR"
"43","KECAMATAN BAURENO","KECAMATAN BAURENO","BAURENO","KEC. BAURENO"
"44","KECAMATAN SUGIHWARAS","KECAMATAN SUGIHWARAS","SUGIHWARAS","KEC. SUGIHWARAS"
"45","KECAMATAN KEPOHBARU","KECAMATAN KEPOHBARU","KEPOHBARU","KEC. KEPOHBARU"
"46","KECAMATAN KEDUNGADEM","KECAMATAN KEDUNGADEM","KEDUNGADEM","KEC. KEDUNGADEM"
"47","KECAMATAN SUKOSEWU","KECAMATAN SUKOSEWU","SUKOSEWU","KEC. SUKOSEWU"
"48","KECAMATAN TRUCUK","KECAMATAN TRUCUK","TRUCUK","KEC. TRUCUK"
"49","KECAMATAN MALO","KECAMATAN MALO","MALO","KEC. MALO"
"50","KECAMATAN KALITIDU","KECAMATAN KALITIDU","KALITIDU","KEC. KALITIDU"
"51","KECAMATAN DANDER","KECAMATAN DANDER","DANDER","KEC. DANDER"
"52","KECAMATAN PADANGAN","KECAMATAN PADANGAN","PADANGAN","KEC. PADANGAN"
"53","KECAMATAN PURWOSARI","KECAMATAN PURWOSARI","PURWOSARI","KEC. PURWOSARI"
"54","KECAMATAN KASIMAN","KECAMATAN KASIMAN","KASIMAN","KEC. KASIMAN"
"55","KECAMATAN KEDEWAN","KECAMATAN KEDEWAN","KEDEWAN","KEC. KEDEWAN"
"56","KECAMATAN NGASEM","KECAMATAN NGASEM","NGASEM","KEC. NGASEM"
"57","KECAMATAN NGAMBON","KECAMATAN NGAMBON","NGAMBON","KEC. NGAMBON"
"58","KECAMATAN TAMBAKREJO","KECAMATAN TAMBAKREJO","TAMBAKREJO","KEC. TAMBAKREJO"
"59","KECAMATAN NGRAHO","KECAMATAN NGRAHO","NGRAHO","KEC. NGRAHO"
"60","KECAMATAN MARGOMULYO","KECAMATAN MARGOMULYO","MARGOMULYO","KEC. MARGOMULYO"
"61","KECAMATAN TEMAYANG","KECAMATAN TEMAYANG","TEMAYANG","KEC. TEMAYANG"
"62","KECAMATAN BUBULAN","KECAMATAN BUBULAN","BUBULAN","KEC. BUBULAN"
"63","KECAMATAN GONDANG","KECAMATAN GONDANG","GONDANG","KEC. GONDANG"
"64","KECAMATAN SEKAR","KECAMATAN SEKAR","SEKAR","KEC. SEKAR"
"65","KECAMATAN GAYAM","KECAMATAN GAYAM","GAYAM","KEC. GAYAM"
"66","INSPEKTORAT","JL. TRUNOJOYO","KADIPATEN","KEC. BOJONEGORO"
"67","BADAN PERENCANAAN PEMBANGUNAN DAERAH","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"68","BADAN PENGELOLAAN KEUANGAN DAN ASET DAERAH","JL. TRUNOJOYO","KADIPATEN","KEC. BOJONEGORO"
"69","BADAN PENDAPATAN DAERAH","JL. P. MAS TUMAPEL NO. 01","KADIPATEN","KEC. BOJONEGORO"
"70","BADAN KEPEGAWAIAN PENDIDIKAN DAN PELATIHAN","JL. TEUKU UMAR NO. 42","KADIPATEN","KEC. BOJONEGORO"
"71","DESA SIDOBANDUNG KEC. BALEN","DESA SIDOBANDUNG KEC BALEN","SIDOBANDUNG","KEC. BALEN"
"72","DESA MAYANGKAWIS KEC. BALEN","DESA MAYANGKAWIS KEC BALEN","MAYANGKAWIS","KEC. BALEN"
"73","DESA KENEP KEC. BALEN","DESA KENEP KEC BALEN","KENEP","KEC. BALEN"
"74","DESA POHBOGO KEC. BALEN","DESA POHBOGO KEC BALEN","POHBOGO","KEC. BALEN"
"75","DESA PENGANTEN KEC. BALEN","DESA PENGANTEN KEC BALEN","PENGANTEN","KEC. BALEN"
"76","DESA BULAKLO KEC. BALEN","DESA BULAKLO KEC BALEN","BULAKLO","KEC. BALEN"
"77","DESA BULU KEC. BALEN","DESA BULU KEC BALEN","BULU","KEC. BALEN"
"78","DESA KEMAMANG KEC. BALEN","DESA KEMAMANG KEC BALEN","KEMAMANG","KEC. BALEN"
"79","DESA NGADILUHUR KEC. BALEN","DESA NGADILUHUR KEC BALEN","NGADILUHUR","KEC. BALEN"
"80","DESA KABUNAN KEC. BALEN","DESA KABUNAN KEC BALEN","KABUNAN","KEC. BALEN"
"81","DESA SUWALOH KEC. BALEN","DESA SUWALOH KEC BALEN","SUWALOH","KEC. BALEN"
"82","DESA SOBONTORO KEC. BALEN","DESA SOBONTORO KEC BALEN","SOBONTORO","KEC. BALEN"
"83","DESA BALENREJO KEC. BALEN","DESA BALENREJO KEC BALEN","BALENREJO","KEC. BALEN"
"84","DESA MARGOMULYO KEC. BALEN","DESA MARGOMULYO KEC BALEN","MARGOMULYO","KEC. BALEN"
"85","DESA KEDUNGBONDO KEC. BALEN","DESA KEDUNGBONDO KEC BALEN","KEDUNGBONDO","KEC. BALEN"
"86","DESA PILANGGEDE KEC. BALEN","DESA PILANGGEDE KEC BALEN","PILANGGEDE","KEC. BALEN"
"87","DESA KEDUNGDOWO KEC. BALEN","DESA KEDUNGDOWO KEC BALEN","KEDUNGDOWO","KEC. BALEN"
"88","DESA LENGKONG KEC. BALEN","DESA LENGKONG KEC BALEN","LENGKONG","KEC. BALEN"
"89","DESA PRAMBATAN KEC. BALEN","DESA PRAMBATAN KEC BALEN","PRAMBATAN","KEC. BALEN"
"90","DESA MULYOAGUNG KEC. BALEN","DESA MULYOAGUNG KEC BALEN","MULYOAGUNG","KEC. BALEN"
"91","DESA SEKARAN KEC. BALEN","DESA SEKARAN KEC BALEN","SEKARAN","KEC. BALEN"
"92","DESA MULYOREJO KEC. BALEN","DESA MULYOREJO KEC BALEN","MULYOREJO","KEC. BALEN"
"93","DESA SARIREJO KEC. BALEN","DESA SARIREJO KEC BALEN","SARIREJO","KEC. BALEN"
"94","DESA POMAHAN KEC. BAURENO","DESA POMAHAN KEC BAURENO","POMAHAN","KEC. BAURENO"
"95","DESA KARANGDAYU KEC. BAURENO","DESA KARANGDAYU KEC BAURENO","KARANGDAYU","KEC. BAURENO"
"96","DESA LEBAKSARI KEC. BAURENO","DESA LEBAKSARI KEC BAURENO","LEBAKSARI","KEC. BAURENO"
"97","DESA KEDUNGREJO KEC. BAURENO","DESA KEDUNGREJO KEC BAURENO","KEDUNGREJO","KEC. BAURENO"
"98","DESA PUCANGARUM KEC. BAURENO","DESA PUCANGARUM KEC BAURENO","PUCANGARUM","KEC. BAURENO"
"99","DESA DRAJAT KEC. BAURENO","DESA DRAJAT KEC BAURENO","DRAJAT","KEC. BAURENO"
"100","DESA BANJARANYAR KEC. BAURENO","DESA BANJARANYAR KEC BAURENO","BANJARANYAR","KEC. BAURENO"
"101","DESA NGEMPLAK KEC. BAURENO","DESA NGEMPLAK KEC BAURENO","NGEMPLAK","KEC. BAURENO"
"102","DESA SRATUREJO KEC. BAURENO","DESA SRATUREJO KEC BAURENO","SRATUREJO","KEC. BAURENO"
"103","DESA BLONGSONG KEC. BAURENO","DESA BLONGSONG KEC BAURENO","BLONGSONG","KEC. BAURENO"
"104","DESA BAURENO KEC. BAURENO","DESA BAURENO KEC BAURENO","BAURENO","KEC. BAURENO"
"105","DESA TROJALU KEC. BAURENO","DESA TROJALU KEC BAURENO","TROJALU","KEC. BAURENO"
"106","DESA TULUNGAGUNG KEC. BAURENO","DESA TULUNGAGUNG KEC BAURENO","TULUNGAGUNG","KEC. BAURENO"
"107","DESA SELOREJO KEC. BAURENO","DESA SELOREJO KEC BAURENO","SELOREJO","KEC. BAURENO"
"108","DESA TLOGOAGUNG KEC. BAURENO","DESA TLOGOAGUNG KEC BAURENO","TLOGOAGUNG","KEC. BAURENO"
"109","DESA SUMURAGUNG KEC. BAURENO","DESA SUMURAGUNG KEC BAURENO","SUMURAGUNG","KEC. BAURENO"
"110","DESA GAJAH KEC. BAURENO","DESA GAJAH KEC BAURENO","GAJAH","KEC. BAURENO"
"111","DESA GUNUNGSARI KEC. BAURENO","DESA GUNUNGSARI KEC BAURENO","GUNUNGSARI","KEC. BAURENO"
"112","DESA KALISARI KEC. BAURENO","DESA KALISARI KEC BAURENO","KALISARI","KEC. BAURENO"
"113","DESA TANGGUNGAN KEC. BAURENO","DESA TANGGUNGAN KEC BAURENO","TANGGUNGAN","KEC. BAURENO"
"114","DESA BUMIAYU KEC. BAURENO","DESA BUMIAYU KEC BAURENO","BUMIAYU","KEC. BAURENO"
"115","DESA KAUMAN KEC. BAURENO","DESA KAUMAN KEC BAURENO","KAUMAN","KEC. BAURENO"
"116","DESA PASINAN KEC. BAURENO","DESA PASINAN KEC BAURENO","PASINAN","KEC. BAURENO"
"117","DESA BANJARAN KEC. BAURENO","DESA BANJARAN KEC BAURENO","BANJARAN","KEC. BAURENO"
"118","DESA SEMBUNGLOR KEC. BAURENO","DESA SEMBUNGLOR KEC BAURENO","SEMBUNGLOR","KEC. BAURENO"
"119","KELURAHAN JETAK KEC. BOJONEGORO","KELURAHAN JETAK KEC. BOJONEGORO","JETAK","KEC. BOJONEGORO"
"120","DESA PACUL KEC. BOJONEGORO","DESA PACUL KEC BOJONEGORO","PACUL","KEC. BOJONEGORO"
"121","DESA SUKOREJO KEC. BOJONEGORO","DESA SUKOREJO KEC BOJONEGORO","SUKOREJO","KEC. BOJONEGORO"
"122","KELURAHAN SUMBANG KEC. BOJONEGORO","KELURAHAN SUMBANG KEC. BOJONEGORO","SUMBANG","KEC. BOJONEGORO"
"123","KELURAHAN KLANGON KEC. BOJONEGORO","KELURAHAN KLANGON KEC. BOJONEGORO","KLANGON","KEC. BOJONEGORO"
"124","KELURAHAN KEPATIHAN KEC. BOJONEGORO","KELURAHAN KEPATIHAN KEC. BOJONEGORO","KEPATIHAN","KEC. BOJONEGORO"
"125","KELURAHAN MOJOKAMPUNG KEC. BOJONEGORO","KELURAHAN MOJOKAMPUNG KEC. BOJONEGORO","MOJOKAMPUNG","KEC. BOJONEGORO"
"126","KELURAHAN KADIPATEN KEC. BOJONEGORO","KELURAHAN KADIPATEN KEC. BOJONEGORO","KADIPATEN","KEC. BOJONEGORO"
"127","KELURAHAN NGROWO KEC. BOJONEGORO","KELURAHAN NGROWO KEC. BOJONEGORO","NGROWO","KEC. BOJONEGORO"
"128","KELURAHAN KARANGPACAR KEC. BOJONEGORO","KELURAHAN KARANGPACAR KEC. BOJONEGORO","KARANGPACAR","KEC. BOJONEGORO"
"129","DESA CAMPURREJO KEC. BOJONEGORO","DESA CAMPURREJO KEC BOJONEGORO","CAMPURREJO","KEC. BOJONEGORO"
"130","DESA SEMANDING KEC. BOJONEGORO","DESA SEMANDING KEC BOJONEGORO","SEMANDING","KEC. BOJONEGORO"
"131","DESA KALIREJO KEC. BOJONEGORO","DESA KALIREJO KEC BOJONEGORO","KALIREJO","KEC. BOJONEGORO"
"132","DESA MULYOAGUNG KEC. BOJONEGORO","DESA MULYOAGUNG KEC BOJONEGORO","MULYOAGUNG","KEC. BOJONEGORO"
"133","KELURAHAN BANJARREJO KEC. BOJONEGORO","KELURAHAN BANJARREJO KEC. BOJONEGORO","BANJARREJO","KEC. BOJONEGORO"
"134","KELURAHAN LEDOK WETAN KEC. BOJONEGORO","KELURAHAN LEDOK WETAN KEC. BOJONEGORO","LEDOK WETAN","KEC. BOJONEGORO"
"135","DESA KAUMAN KEC. BOJONEGORO","DESA KAUMAN KEC BOJONEGORO","KAUMAN","KEC. BOJONEGORO"
"136","KELURAHAN LEDOK KULON KEC. BOJONEGORO","KELURAHAN LEDOK KULON KEC. BOJONEGORO","LEDOK KULON","KEC. BOJONEGORO"
"137","DESA BUBULAN KEC. BUBULAN","DESA BUBULAN KEC BUBULAN","BUBULAN","KEC. BUBULAN"
"138","DESA CANCUNG KEC. BUBULAN","DESA CANCUNG KEC BUBULAN","CANCUNG","KEC. BUBULAN"
"139","DESA CLEBUNG KEC. BUBULAN","DESA CLEBUNG KEC BUBULAN","CLEBUNG","KEC. BUBULAN"
"140","DESA SUMBERBENDO KEC. BUBULAN","DESA SUMBERBENDO KEC BUBULAN","SUMBERBENDO","KEC. BUBULAN"
"141","DESA NGOROGUNUNG KEC. BUBULAN","DESA NGOROGUNUNG KEC BUBULAN","NGOROGUNUNG","KEC. BUBULAN"
"142","DESA NGUNUT KEC. DANDER","DESA NGUNUT KEC DANDER","NGUNUT","KEC. DANDER"
"143","DESA DANDER KEC. DANDER","DESA DANDER KEC DANDER","DANDER","KEC. DANDER"
"144","DESA GROWOK KEC. DANDER","DESA GROWOK KEC DANDER","GROWOK","KEC. DANDER"
"145","DESA SUMBERARUM KEC. DANDER","DESA SUMBERARUM KEC DANDER","SUMBERARUM","KEC. DANDER"
"146","DESA KUNCI KEC. DANDER","DESA KUNCI KEC DANDER","KUNCI","KEC. DANDER"
"147","DESA JATIBLIMBING KEC. DANDER","DESA JATIBLIMBING KEC DANDER","JATIBLIMBING","KEC. DANDER"
"148","DESA NGRASEH KEC. DANDER","DESA NGRASEH KEC DANDER","NGRASEH","KEC. DANDER"
"149","DESA MOJORANU KEC. DANDER","DESA MOJORANU KEC DANDER","MOJORANU","KEC. DANDER"
"150","DESA SOMODIKARAN KEC. DANDER","DESA SOMODIKARAN KEC DANDER","SOMODIKARAN","KEC. DANDER"
"151","DESA SENDANGREJO KEC. DANDER","DESA SENDANGREJO KEC DANDER","SENDANGREJO","KEC. DANDER"
"152","DESA KARANGSONO KEC. DANDER","DESA KARANGSONO KEC DANDER","KARANGSONO","KEC. DANDER"
"153","DESA SUMBERAGUNG KEC. DANDER","DESA SUMBERAGUNG KEC DANDER","SUMBERAGUNG","KEC. DANDER"
"154","DESA NGUMPAKDALEM KEC. DANDER","DESA NGUMPAKDALEM KEC DANDER","NGUMPAKDALEM","KEC. DANDER"
"155","DESA SUMBERTLASEH KEC. DANDER","DESA SUMBERTLASEH KEC DANDER","SUMBERTLASEH","KEC. DANDER"
"156","DESA NGULANAN KEC. DANDER","DESA NGULANAN KEC DANDER","NGULANAN","KEC. DANDER"
"157","DESA NGABLAK KEC. DANDER","DESA NGABLAK KEC DANDER","NGABLAK","KEC. DANDER"
"158","DESA GAYAM KEC. GAYAM","DESA GAYAM KEC GAYAM","GAYAM","KEC. GAYAM"
"159","DESA MOJODELIK KEC. GAYAM","DESA MOJODELIK KEC GAYAM","MOJODELIK","KEC. GAYAM"
"160","DESA BONOREJO KEC. GAYAM","DESA BONOREJO KEC GAYAM","BONOREJO","KEC. GAYAM"
"161","DESA BRABOWAN KEC. GAYAM","DESA BRABOWAN KEC GAYAM","BRABOWAN","KEC. GAYAM"
"162","DESA BEGADON KEC. GAYAM","DESA BEGADON KEC GAYAM","BEGADON","KEC. GAYAM"
"163","DESA RINGINTUNGGAL KEC. GAYAM","DESA RINGINTUNGGAL KEC GAYAM","RINGINTUNGGAL","KEC. GAYAM"
"164","DESA BEGED KEC. GAYAM","DESA BEGED KEC GAYAM","BEGED","KEC. GAYAM"
"165","DESA NGRAHO KEC. GAYAM","DESA NGRAHO KEC GAYAM","NGRAHO","KEC. GAYAM"
"166","DESA SUDU KEC. GAYAM","DESA SUDU KEC GAYAM","SUDU","KEC. GAYAM"
"167","DESA MANUKAN KEC. GAYAM","DESA MANUKAN KEC GAYAM","MANUKAN","KEC. GAYAM"
"168","DESA CENGUNGKLUNG KEC. GAYAM","DESA CENGUNGKLUNG KEC GAYAM","CENGUNGKLUNG","KEC. GAYAM"
"169","DESA KATUR KEC. GAYAM","DESA KATUR KEC GAYAM","KATUR","KEC. GAYAM"
"170","DESA KRONDONAN KEC. GONDANG","DESA KRONDONAN KEC GONDANG","KRONDONAN","KEC. GONDANG"
"171","DESA SENGANTEN KEC. GONDANG","DESA SENGANTEN KEC GONDANG","SENGANTEN","KEC. GONDANG"
"172","DESA SAMBONGREJO KEC. GONDANG","DESA SAMBONGREJO KEC GONDANG","SAMBONGREJO","KEC. GONDANG"
"173","DESA PAJENG KEC. GONDANG","DESA PAJENG KEC GONDANG","PAJENG","KEC. GONDANG"
"174","DESA GONDANG KEC. GONDANG","DESA GONDANG KEC GONDANG","GONDANG","KEC. GONDANG"
"175","DESA JARI KEC. GONDANG","DESA JARI KEC GONDANG","JARI","KEC. GONDANG"
"176","DESA PRAGELAN KEC. GONDANG","DESA PRAGELAN KEC GONDANG","PRAGELAN","KEC. GONDANG"
"177","DESA SARANGAN KEC. KANOR","DESA SARANGAN KEC KANOR","SARANGAN","KEC. KANOR"
"178","DESA TEJO KEC. KANOR","DESA TEJO KEC KANOR","TEJO","KEC. KANOR"
"179","DESA PESENLOR KEC. KANOR","DESA PESENLOR KEC KANOR","PESENLOR","KEC. KANOR"
"180","DESA SAMBERAN KEC. KANOR","DESA SAMBERAN KEC KANOR","SAMBERAN","KEC. KANOR"
"181","DESA NGLARANGAN KEC. KANOR","DESA NGLARANGAN KEC KANOR","NGLARANGAN","KEC. KANOR"
"182","DESA SROYOLOR KEC. KANOR","DESA SROYOLOR KEC KANOR","SROYOLOR","KEC. KANOR"
"183","DESA BAKUNG KEC. KANOR","DESA BAKUNG KEC KANOR","BAKUNG","KEC. KANOR"
"184","DESA PALEMBON KEC. KANOR","DESA PALEMBON KEC KANOR","PALEMBON","KEC. KANOR"
"185","DESA SIMBATAN KEC. KANOR","DESA SIMBATAN KEC KANOR","SIMBATAN","KEC. KANOR"
"186","DESA CANGAAN KEC. KANOR","DESA CANGAAN KEC KANOR","CANGAAN","KEC. KANOR"
"187","DESA KABALAN KEC. KANOR","DESA KABALAN KEC KANOR","KABALAN","KEC. KANOR"
"188","DESA PIYAK KEC. KANOR","DESA PIYAK KEC KANOR","PIYAK","KEC. KANOR"
"189","DESA CARUBAN KEC. KANOR","DESA CARUBAN KEC KANOR","CARUBAN","KEC. KANOR"
"190","DESA SEDENG KEC. KANOR","DESA SEDENG KEC KANOR","SEDENG","KEC. KANOR"
"191","DESA BUNGUR KEC. KANOR","DESA BUNGUR KEC KANOR","BUNGUR","KEC. KANOR"
"192","DESA SIMOREJO KEC. KANOR","DESA SIMOREJO KEC KANOR","SIMOREJO","KEC. KANOR"
"193","DESA SUMBERWANGI KEC. KANOR","DESA SUMBERWANGI KEC KANOR","SUMBERWANGI","KEC. KANOR"
"194","DESA TAMBAHREJO KEC. KANOR","DESA TAMBAHREJO KEC KANOR","TAMBAHREJO","KEC. KANOR"
"195","DESA KANOR KEC. KANOR","DESA KANOR KEC KANOR","KANOR","KEC. KANOR"
"196","DESA PRIGI KEC. KANOR","DESA PRIGI KEC KANOR","PRIGI","KEC. KANOR"
"197","DESA TEMU KEC. KANOR","DESA TEMU KEC KANOR","TEMU","KEC. KANOR"
"198","DESA KEDUNGPRIMPEN KEC. KANOR","DESA KEDUNGPRIMPEN KEC KANOR","KEDUNGPRIMPEN","KEC. KANOR"
"199","DESA GEDONGARUM KEC. KANOR","DESA GEDONGARUM KEC KANOR","GEDONGARUM","KEC. KANOR"
"200","DESA PILANG KEC. KANOR","DESA PILANG KEC KANOR","PILANG","KEC. KANOR"
"201","DESA SEMAMBUNG KEC. KANOR","DESA SEMAMBUNG KEC KANOR","SEMAMBUNG","KEC. KANOR"
"202","DESA KUMPULREJO KEC. KAPAS","DESA KUMPULREJO KEC KAPAS","KUMPULREJO","KEC. KAPAS"
"203","DESA BENDO KEC. KAPAS","DESA BENDO KEC KAPAS","BENDO","KEC. KAPAS"
"204","DESA PADANGMENTOYO KEC. KAPAS","DESA PADANGMENTOYO KEC KAPAS","PADANGMENTOYO","KEC. KAPAS"
"205","DESA TAPELAN KEC. KAPAS","DESA TAPELAN KEC KAPAS","TAPELAN","KEC. KAPAS"
"206","DESA BANGILAN KEC. KAPAS","DESA BANGILAN KEC KAPAS","BANGILAN","KEC. KAPAS"
"207","DESA SEMBUNG KEC. KAPAS","DESA SEMBUNG KEC KAPAS","SEMBUNG","KEC. KAPAS"
"208","DESA TANJUNGHARJO KEC. KAPAS","DESA TANJUNGHARJO KEC KAPAS","TANJUNGHARJO","KEC. KAPAS"
"209","DESA PLESUNGAN KEC. KAPAS","DESA PLESUNGAN KEC KAPAS","PLESUNGAN","KEC. KAPAS"
"210","DESA KEDATON KEC. KAPAS","DESA KEDATON KEC KAPAS","KEDATON","KEC. KAPAS"
"211","DESA KAPAS KEC. KAPAS","DESA KAPAS KEC KAPAS","KAPAS","KEC. KAPAS"
"212","DESA SEMENPINGGIR KEC. KAPAS","DESA SEMENPINGGIR KEC KAPAS","SEMENPINGGIR","KEC. KAPAS"
"213","DESA BOGO KEC. KAPAS","DESA BOGO KEC KAPAS","BOGO","KEC. KAPAS"
"214","DESA BAKALAN KEC. KAPAS","DESA BAKALAN KEC KAPAS","BAKALAN","KEC. KAPAS"
"215","DESA KLAMPOK KEC. KAPAS","DESA KLAMPOK KEC KAPAS","KLAMPOK","KEC. KAPAS"
"216","DESA MOJODESO KEC. KAPAS","DESA MOJODESO KEC KAPAS","MOJODESO","KEC. KAPAS"
"217","DESA SUKOWATI KEC. KAPAS","DESA SUKOWATI KEC KAPAS","SUKOWATI","KEC. KAPAS"
"218","DESA TIKUSAN KEC. KAPAS","DESA TIKUSAN KEC KAPAS","TIKUSAN","KEC. KAPAS"
"219","DESA KALIANYAR KEC. KAPAS","DESA KALIANYAR KEC KAPAS","KALIANYAR","KEC. KAPAS"
"220","DESA WEDI KEC. KAPAS","DESA WEDI KEC KAPAS","WEDI","KEC. KAPAS"
"221","DESA NGAMPEL KEC. KAPAS","DESA NGAMPEL KEC KAPAS","NGAMPEL","KEC. KAPAS"
"222","DESA SAMBIROTO KEC. KAPAS","DESA SAMBIROTO KEC KAPAS","SAMBIROTO","KEC. KAPAS"
"223","DESA SUMENGKO KEC. KALITIDU","DESA SUMENGKO KEC KALITIDU","SUMENGKO","KEC. KALITIDU"
"224","DESA MLATEN KEC. KALITIDU","DESA MLATEN KEC KALITIDU","MLATEN","KEC. KALITIDU"
"225","DESA TALOK KEC. KALITIDU","DESA TALOK KEC KALITIDU","TALOK","KEC. KALITIDU"
"226","DESA BRENGGOLO KEC. KALITIDU","DESA BRENGGOLO KEC KALITIDU","BRENGGOLO","KEC. KALITIDU"
"227","DESA GREBEGAN KEC. KALITIDU","DESA GREBEGAN KEC KALITIDU","GREBEGAN","KEC. KALITIDU"
"228","DESA WOTANGARE KEC. KALITIDU","DESA WOTANGARE KEC KALITIDU","WOTANGARE","KEC. KALITIDU"
